QST-00001|Aap Paanchvi Fail Champu Hain?|Aap Paanchvi Fail Champu Hain?
LJ010-0291|Pate was found guilty, and sentenced to seven years' transportation, the judge, Baron Alderson, abstaining from inflicting the penalty of whipping,|Pate was found guilty, and sentenced to seven years' transportation, the judge, Baron Alderson, abstaining from inflicting the penalty of whipping,
LJ010-0292|which was authorized by a recent act, on account of Mr. Pate's family and position in life.|which was authorized by a recent act, on account of Mr. Pate's family and position in life.
LJ010-0293|I have already remarked that as violence was more and more eliminated from crimes against the person,|I have already remarked that as violence was more and more eliminated from crimes against the person,
LJ010-0294|frauds indicating great boldness, extensive design, and ingenuity became more prevalent.|frauds indicating great boldness, extensive design, and ingenuity became more prevalent.
LJ010-0295|The increase of bank forgeries, and its cause, I referred to in a previous chapter.|The increase of bank forgeries, and its cause, I referred to in a previous chapter.
LJ010-0296|At one session of the Old Bailey, in 1821, no less than thirty-five true bills were found for passing forged notes.|At one session of the Old Bailey, in eighteen twenty-one, no less than thirty-five true bills were found for passing forged notes.
LJ010-0297|But there were other notorious cases of forgery.|But there were other notorious cases of forgery.
LJ010-0298|That of Fauntleroy the banker, in 1824,|That of Fauntleroy the banker, in eighteen twenty-four,
LJ010-0299|caused much excitement at the time on account of the magnitude of the fraud, and the seeming probity of the culprit.|caused much excitement at the time on account of the magnitude of the fraud, and the seeming probity of the culprit.
LJ010-0300|Mr. Fauntleroy was a member of a banking firm, which his father had established in conjunction with a gentleman of the name of Marsh, and others.|Mr. Fauntleroy was a member of a banking firm, which his father had established in conjunction with a gentleman of the name of Marsh, and others.
LJ010-0301|He had entered the house as clerk in 1800;|He had entered the house as clerk in eighteen hundred;
LJ010-0302|in 1807, and when only twenty-two, he succeeded to his father's share in the business.|in eighteen oh seven, and when only twenty-two, he succeeded to his father's share in the business.
LJ010-0303|According to Fauntleroy's own case, he found at once that the firm was heavily involved,|According to Fauntleroy's own case, he found at once that the firm was heavily involved,
LJ010-0304|through advances made to various builders, and that it could only maintain its credit by wholesale discounting.|through advances made to various builders, and that it could only maintain its credit by wholesale discounting.
LJ010-0305|Its embarrassments were greatly increased by the bankruptcy of two of its clients in the building trade,|Its embarrassments were greatly increased by the bankruptcy of two of its clients in the building trade,
LJ010-0306|and the bank became liable for a sum of £170,000.|and the bank became liable for a sum of one hundred seventy thousand pounds.
LJ010-0307|New liabilities were incurred to the extent of £100,000 by more failures, and in 1819,|New liabilities were incurred to the extent of one hundred thousand pounds by more failures, and in eighteen nineteen,
LJ010-0308|by the death of one of the partners, a large sum in cash had to be withdrawn from the bank to pay his heirs.|by the death of one of the partners, a large sum in cash had to be withdrawn from the bank to pay his heirs.
LJ010-0309|'During these numerous and trying difficulties' -- it is Mr. Fauntleroy who speaks --|'During these numerous and trying difficulties' -- it is Mr. Fauntleroy who speaks --
LJ010-0310|the house was nearly without resources, and the whole burthen of management falling on me, I sought resources where I could;|the house was nearly without resources, and the whole burthen of management falling on me, I sought resources where I could;
LJ010-0311|in other words, he forged powers of attorney, and proceeded to realize securities lodged in his bank under various names.|in other words, he forged powers of attorney, and proceeded to realize securities lodged in his bank under various names.
LJ010-0312|Among the prisoner's private papers, one was found giving full details of the stock he had feloniously sold out,|Among the prisoner's private papers, one was found giving full details of the stock he had feloniously sold out,
LJ010-0313|the sum total amounting to some £170,000, with a declaration in his own handwriting to the following effect.|the sum total amounting to some one hundred seventy thousand pounds, with a declaration in his own handwriting to the following effect.
LJ010-0314|In order to keep up the credit of our house, I have forged powers of attorney for the above sums and parties,|In order to keep up the credit of our house, I have forged powers of attorney for the above sums and parties,
LJ010-0315|and sold out to the amount here stated, and without the knowledge of my partners.|and sold out to the amount here stated, and without the knowledge of my partners.
LJ010-0316|I kept up the payments of the dividends, but made no entries of such payments in my books.|I kept up the payments of the dividends, but made no entries of such payments in my books.
LJ010-0317|The bank began first to refuse our acceptances, and to destroy the credit of our house; the bank shall smart for it.|The bank began first to refuse our acceptances, and to destroy the credit of our house; the bank shall smart for it.
LJ011-0001|The Chronicles of Newgate, Volume 2. By Arthur Griffiths. Section 14: Newgate notorieties, part 1|The Chronicles of Newgate, Volume two. By Arthur Griffiths. Section fourteen: Newgate notorieties, part one
LJ011-0002|Many stories were in circulation at the time of Fauntleroy's trial with regard to his forgeries. It was said that he had by means of them|Many stories were in circulation at the time of Fauntleroy's trial with regard to his forgeries. It was said that he had by means of them
LJ011-0003|sold out so large an amount of stock, that he paid £16,000 a year in dividends to escape detection.|sold out so large an amount of stock, that he paid sixteen thousand pounds a year in dividends to escape detection.
LJ011-0004|Once he ran a narrow risk of being found out.|Once he ran a narrow risk of being found out.
LJ011-0005|A lady in the country, who had £13,000 in the stocks, desired her London agent to sell them out.|A lady in the country, who had thirteen thousand pounds in the stocks, desired her London agent to sell them out.
LJ011-0006|He went to the bank, and found that no stocks stood in her name. He called at once upon Fauntleroy, his client's bankers, for an explanation,|He went to the bank, and found that no stocks stood in her name. He called at once upon Fauntleroy, his client's bankers, for an explanation,
LJ011-0007|and was told by Mr. Fauntleroy that the lady had desired him to sell out, 'which I have done,' added the fraudulent banker, 'and here are the proceeds,'|and was told by Mr. Fauntleroy that the lady had desired him to sell out, 'which I have done,' added the fraudulent banker, 'and here are the proceeds,'
LJ011-0008|whereupon he produced exchequer bills to the amount.|whereupon he produced exchequer bills to the amount.
LJ011-0009|Nothing more was heard of the affair, although the lady declared that she had never instructed Fauntleroy to sell.|Nothing more was heard of the affair, although the lady declared that she had never instructed Fauntleroy to sell.
LJ011-0010|On another occasion the banker forged a gentleman's name while the latter was sitting with him in his private room,|On another occasion the banker forged a gentleman's name while the latter was sitting with him in his private room,
LJ011-0011|and took the instrument out to a clerk with the ink not dry.|and took the instrument out to a clerk with the ink not dry.
LJ011-0012|It must be added that the Bank of England, on discovering the forgeries,|It must be added that the Bank of England, on discovering the forgeries,
LJ011-0013|replaced the stock in the names of the original holders, who might otherwise have been completely ruined.|replaced the stock in the names of the original holders, who might otherwise have been completely ruined.
LJ011-0014|A newspaper report of the time describes Fauntleroy as a well-made man of middle stature.|A newspaper report of the time describes Fauntleroy as a well-made man of middle stature.
LJ011-0015|His hair, though gray, was thick, and lay smooth over his forehead.|His hair, though gray, was thick, and lay smooth over his forehead.
LJ011-0016|His countenance had an expression of most subdued resignation.|His countenance had an expression of most subdued resignation.
LJ011-0017|The impression which his appearance altogether was calculated to make was that of the profoundest commiseration.|The impression which his appearance altogether was calculated to make was that of the profoundest commiseration.
LJ011-0018|The crime, long carried on without detection, was first discovered in 1820,|The crime, long carried on without detection, was first discovered in eighteen twenty,
LJ011-0019|when it was found that a sum of £10,000, standing in the name of three trustees, of whom Fauntleroy was one,|when it was found that a sum of ten thousand pounds, standing in the name of three trustees, of whom Fauntleroy was one,
LJ011-0020|had been sold out under a forged power of attorney.|had been sold out under a forged power of attorney.
LJ011-0021|Further investigations brought other similar frauds to light,|Further investigations brought other similar frauds to light,
LJ011-0022|and fixed the whole sum misappropriated at £170,000, the first forgery dating back to 1814.|and fixed the whole sum misappropriated at one hundred seventy thousand pounds, the first forgery dating back to eighteen fourteen.
LJ011-0023|A run upon the bank immediately followed, which was only met by a suspension of payment and the closing of its doors.|A run upon the bank immediately followed, which was only met by a suspension of payment and the closing of its doors.
LJ011-0024|Meanwhile public gossip was busy with Fauntleroy's name,|Meanwhile public gossip was busy with Fauntleroy's name,
LJ011-0025|and it was openly stated in the press and in conversation that the proceeds of these frauds had been squandered in chambering, gambling, and debauchery.|and it was openly stated in the press and in conversation that the proceeds of these frauds had been squandered in chambering, gambling, and debauchery.
LJ011-0026|Fauntleroy was scouted as a licentious libertine, a deep and determined gamester, a spendthrift whose extravagance knew no bounds.|Fauntleroy was scouted as a licentious libertine, a deep and determined gamester, a spendthrift whose extravagance knew no bounds.
LJ011-0027|The veil was lifted from his private life, and he was accused of persistent immorality.|The veil was lifted from his private life, and he was accused of persistent immorality.
LJ011-0028|In his defense|In his defense
LJ011-0029|he sought to rebut these charges, which indeed were never clearly made out, and it is pretty certain that his own account of the causes which led him into dishonesty|he sought to rebut these charges, which indeed were never clearly made out, and it is pretty certain that his own account of the causes which led him into dishonesty
LJ011-0030|was substantially true|was substantially true
LJ011-0031|He called many witnesses, seventeen in all, to speak of him as they had found him; and these, all respectable city merchants and business men,|He called many witnesses, seventeen in all, to speak of him as they had found him; and these, all respectable city merchants and business men,
LJ011-0032|declared that they had hitherto formed a high opinion of his honor, integrity, and goodness of disposition,|declared that they had hitherto formed a high opinion of his honor, integrity, and goodness of disposition,
LJ011-0033|deeming him the last person capable of a dishonorable action.|deeming him the last person capable of a dishonorable action.
LJ011-0034|These arguments availed little with the jury, who after a short deliberation found Fauntleroy guilty, and he was sentenced to death.|These arguments availed little with the jury, who after a short deliberation found Fauntleroy guilty, and he was sentenced to death.
LJ011-0035|Every endeavor was used, however, to obtain a commutation of sentence. His case was twice argued before the judges on points of law,|Every endeavor was used, however, to obtain a commutation of sentence. His case was twice argued before the judges on points of law,
LJ011-0036|but the result in both cases was unfavorable.|but the result in both cases was unfavorable.
LJ011-0037|Appeals were made to the Home Secretary, and all possible political interest brought to bear, but without success.|Appeals were made to the Home Secretary, and all possible political interest brought to bear, but without success.
LJ011-0038|Fauntleroy meanwhile lay in Newgate, not herded with other condemned prisoners, as the custom was,|Fauntleroy meanwhile lay in Newgate, not herded with other condemned prisoners, as the custom was,
LJ011-0039|but in a separate chamber, that belonging to one of the warders of the jail.|but in a separate chamber, that belonging to one of the warders of the jail.
LJ011-0040|I find in the chaplain's journal, under date 1824, various entries relative to this prisoner.|I find in the chaplain's journal, under date eighteen twenty-four, various entries relative to this prisoner.
LJ011-0041|Visited Mr. Fauntleroy. My application for books for him not having been attended, I had no prayer-book to give him.|Visited Mr. Fauntleroy. My application for books for him not having been attended, I had no prayer-book to give him.
LJ011-0042|Visited Mr. Fauntleroy. The sheriffs have very kindly permitted him to remain in the turnkey's room where he was originally placed; nor can I omit expressing a hope|Visited Mr. Fauntleroy. The sheriffs have very kindly permitted him to remain in the turnkey's room where he was originally placed; nor can I omit expressing a hope
LJ011-0043|that this may prove the beginning of a better system of confinement, and that every description of persons who may be unfortunately under sentence of death|that this may prove the beginning of a better system of confinement, and that every description of persons who may be unfortunately under sentence of death
LJ011-0044|will no longer be herded indiscriminately together.|will no longer be herded indiscriminately together.
LJ011-0045|The kindliness of the city authorities to Fauntleroy was not limited to the assignment of a separate place of durance.|The kindliness of the city authorities to Fauntleroy was not limited to the assignment of a separate place of durance.
LJ011-0046|As I have already said, they took the chaplain seriously to task for the bad taste shown in the condemned sermon preached before Fauntleroy.|As I have already said, they took the chaplain seriously to task for the bad taste shown in the condemned sermon preached before Fauntleroy.
LJ011-0047|This was on the text,|This was on the text,
LJ011-0048|Wherefore let him that thinketh he standeth take heed lest he fall,' and was full of the most pointed allusions to the culprit.|Wherefore let him that thinketh he standeth take heed lest he fall,' and was full of the most pointed allusions to the culprit.
LJ011-0049|Fauntleroy constantly groaned aloud while the sermon proceeded, and contemporary reports declared|Fauntleroy constantly groaned aloud while the sermon proceeded, and contemporary reports declared
LJ011-0050|that he appeared to feel deeply the force of the reverend gentleman's observations, especially when the chaplain spoke of|that he appeared to feel deeply the force of the reverend gentleman's observations, especially when the chaplain spoke of
LJ011-0051|the great magnitude of our erring brother's offense, one of the most dangerous description in a trading community.|the great magnitude of our erring brother's offense, one of the most dangerous description in a trading community.
LJ011-0052|The sermon ended with an appeal to the dying man, exhorting him to penitence.|The sermon ended with an appeal to the dying man, exhorting him to penitence.
LJ011-0053|This 'personality,' and it can be called by no other name, is carefully excluded from prison pulpit utterances on the eve of an execution.|This 'personality,' and it can be called by no other name, is carefully excluded from prison pulpit utterances on the eve of an execution.
LJ011-0054|A very curious and, in its way, amusing circumstance in connection with this case was the offer of a certain Italian,|A very curious and, in its way, amusing circumstance in connection with this case was the offer of a certain Italian,
LJ011-0055|Edmund Angelini, to take Fauntleroy's place.|Edmund Angelini, to take Fauntleroy's place.
LJ011-0056|Angelini wrote to the Lord Mayor to this effect,|Angelini wrote to the Lord Mayor to this effect,
LJ011-0057|urging that Fauntleroy was a father, a citizen: 'his life is useful, mine a burthen, to the State.'|urging that Fauntleroy was a father, a citizen: 'his life is useful, mine a burthen, to the State.'
LJ011-0058|He was summoned to the Mansion House, where he repeated his request, crying, 'Accordez moi cette grâce,' with much urgency.|He was summoned to the Mansion House, where he repeated his request, crying, 'Accordez moi cette grâce,' with much urgency.
LJ011-0059|There were doubts of his sanity.|There were doubts of his sanity.
LJ011-0060|He wrote afterwards to the effect that the moment he had offered himself, an unknown assassin came to aim a blow at him.|He wrote afterwards to the effect that the moment he had offered himself, an unknown assassin came to aim a blow at him.
LJ011-0061|Let this monster give his name; I am ready to fight him. I am still determined to put myself in the place of Mr. Fauntleroy.|Let this monster give his name; I am ready to fight him. I am still determined to put myself in the place of Mr. Fauntleroy.
LJ011-0062|If the law of this country can receive such a sacrifice, my death will render to heaven an innocent man, and to earth a repentant sinner.|If the law of this country can receive such a sacrifice, my death will render to heaven an innocent man, and to earth a repentant sinner.
LJ011-0063|Fauntleroy was not entirely dependent upon the ordinary for ghostly counsel in his extremity.|Fauntleroy was not entirely dependent upon the ordinary for ghostly counsel in his extremity.
LJ011-0064|He was also attended by the Rev. Mr. Springett and the indefatigable Mr. Baker, whose name has already been mentioned.|He was also attended by the Rev. Mr. Springett and the indefatigable Mr. Baker, whose name has already been mentioned.
LJ011-0065|When led out on the morning of his execution, these two last-named gentlemen each took hold of one of his arms, and so accompanied him to the scaffold.|When led out on the morning of his execution, these two last-named gentlemen each took hold of one of his arms, and so accompanied him to the scaffold.
LJ011-0066|The concourse in front of Newgate was enormous, but much sympathy was evinced for this unfortunate victim to human weakness and ruthless laws.|The concourse in front of Newgate was enormous, but much sympathy was evinced for this unfortunate victim to human weakness and ruthless laws.
LJ011-0067|A report was, moreover, widely circulated, and the impression long prevailed, that he actually escaped death.|A report was, moreover, widely circulated, and the impression long prevailed, that he actually escaped death.
LJ011-0068|It was said that strangulation had been prevented by the insertion of a silver tube in his wind-pipe,|It was said that strangulation had been prevented by the insertion of a silver tube in his wind-pipe,
LJ011-0069|and that after hanging for the regulated time he was taken down and easily restored to consciousness.|and that after hanging for the regulated time he was taken down and easily restored to consciousness.
LJ011-0070|Afterwards, according to the common rumor, he went abroad and lived there for many years; but the story is not only wholly unsubstantiated,|Afterwards, according to the common rumor, he went abroad and lived there for many years; but the story is not only wholly unsubstantiated,
LJ011-0071|but there is good evidence to show that the body after execution was handed over to his friends and interred privately.|but there is good evidence to show that the body after execution was handed over to his friends and interred privately.
LJ011-0072|Some years were still to elapse before capital punishment ceased to be the penalty for forgery, and in the interval|Some years were still to elapse before capital punishment ceased to be the penalty for forgery, and in the interval
LJ011-0073|several persons were sentenced to or suffered death for this crime.|several persons were sentenced to or suffered death for this crime.
LJ011-0074|There were two notable capital convictions for forgery in 1828.|There were two notable capital convictions for forgery in eighteen twenty-eight.
LJ011-0075|One was that of Captain Montgomery, who assumed the aliases of Colonel Wallace and Colonel Morgan.|One was that of Captain Montgomery, who assumed the aliases of Colonel Wallace and Colonel Morgan.
LJ011-0076|His offense was uttering forged notes, and there was strong suspicion that he had long subsisted entirely by this fraud.|His offense was uttering forged notes, and there was strong suspicion that he had long subsisted entirely by this fraud.
LJ011-0077|The act for which he was taken into custody was the payment of a forged ten-pound note for half-a-dozen silver spoons.|The act for which he was taken into custody was the payment of a forged ten-pound note for half-a-dozen silver spoons.
LJ011-0078|Montgomery was an adept at forgery. He had gone wrong early. Although born of respectable parents, and gazetted to a commission in the army,|Montgomery was an adept at forgery. He had gone wrong early. Although born of respectable parents, and gazetted to a commission in the army,
LJ011-0079|he soon left the service and betook himself to dishonest ways.|he soon left the service and betook himself to dishonest ways.
LJ011-0080|His first forgery was the marvelous imitation of the signature of the Hon. Mr. Neville, M.P., who wrote an extremely cramped and curious hand.|His first forgery was the marvelous imitation of the signature of the Hon. Mr. Neville, M.P., who wrote an extremely cramped and curious hand.
LJ011-0081|He was not prosecuted for this fraud on account of the respectability of his family, and soon after this escape|He was not prosecuted for this fraud on account of the respectability of his family, and soon after this escape
LJ011-0082|he came to London, where he practiced as a professional swindler and cheat.|he came to London, where he practiced as a professional swindler and cheat.
LJ011-0083|For a long time justice did not overtake him for any criminal offense, but he was frequently in Newgate and in the King's Bench for debt.|For a long time justice did not overtake him for any criminal offense, but he was frequently in Newgate and in the King's Bench for debt.
LJ011-0084|After three years' confinement in the latter prison he passed himself off as his brother, Colonel Montgomery,|After three years' confinement in the latter prison he passed himself off as his brother, Colonel Montgomery,
LJ011-0085|a distinguished officer, and would have married an heiress had not the imposture been discovered in time.|a distinguished officer, and would have married an heiress had not the imposture been discovered in time.
LJ011-0086|He then took to forging bank-notes, and was arrested as I have described above.|He then took to forging bank-notes, and was arrested as I have described above.
LJ011-0087|Montgomery was duly sentenced to death, but he preferred suicide to the gallows. After sentence his demeanor was serious yet firm.|Montgomery was duly sentenced to death, but he preferred suicide to the gallows. After sentence his demeanor was serious yet firm.
LJ011-0088|The night previous to that fixed for his execution he wrote several letters, one of them being to Edward Gibbon Wakefield, a fellow-prisoner,|The night previous to that fixed for his execution he wrote several letters, one of them being to Edward Gibbon Wakefield, a fellow-prisoner,
LJ011-0089|and listened attentively to the ordinary, who read him the well-known address written and delivered by Dr. Dodd previous to his own execution for forgery.|and listened attentively to the ordinary, who read him the well-known address written and delivered by Dr. Dodd previous to his own execution for forgery.
LJ011-0090|But next morning he was found dead in his cell.|But next morning he was found dead in his cell.
LJ011-0091|In one corner after much search a phial was found labeled 'Prussic acid,'|In one corner after much search a phial was found labeled 'Prussic acid,'
LJ011-0092|which it was asserted he had been in the habit of carrying about his person ever since he had taken to passing forged notes, as an antidote against disgrace.|which it was asserted he had been in the habit of carrying about his person ever since he had taken to passing forged notes, as an antidote against disgrace.
LJ011-0093|This phial he had managed to retain in his possession in spite of the frequent searches to which he was subjected in Newgate.|This phial he had managed to retain in his possession in spite of the frequent searches to which he was subjected in Newgate.
LJ011-0094|The second conviction for forgery in 1828 was that of the Quaker Joseph Hunton, a man of previously the highest repute in the city of London.|The second conviction for forgery in eighteen twenty-eight was that of the Quaker Joseph Hunton, a man of previously the highest repute in the city of London.
LJ011-0095|He had prospered in early life, was a slop-seller on a large scale at Bury St. Edmunds, and a sugar-baker in the metropolis.|He had prospered in early life, was a slop-seller on a large scale at Bury St. Edmunds, and a sugar-baker in the metropolis.
LJ011-0096|He married a lady also belonging to the Society of Friends, who brought him a large fortune, which, and his own money, he put into a city firm,|He married a lady also belonging to the Society of Friends, who brought him a large fortune, which, and his own money, he put into a city firm,
LJ011-0097|that of Dickson and Co.|that of Dickson and Co.
LJ011-0098|He soon, however, became deeply involved in Stock Exchange speculations,|He soon, however, became deeply involved in Stock Exchange speculations,
LJ011-0099|and losing heavily, to meet the claims upon him he put out a number of forged bills of exchange or acceptances,|and losing heavily, to meet the claims upon him he put out a number of forged bills of exchange or acceptances,
LJ011-0100|to which the signature of one Wilkins of Abingdon was found to be forged.|to which the signature of one Wilkins of Abingdon was found to be forged.
LJ011-0101|Hunton tried to fly the country on the detection of the fraud, but was arrested at Plymouth just as he was on the point of leaving England in the New York packet.|Hunton tried to fly the country on the detection of the fraud, but was arrested at Plymouth just as he was on the point of leaving England in the New York packet.
LJ011-0102|He had gone on board in his Quaker dress, but when captured was found in a light-green frock,|He had gone on board in his Quaker dress, but when captured was found in a light-green frock,
LJ011-0103|a pair of light gray pantaloons, a black stock and a foraging cap.|a pair of light gray pantaloons, a black stock and a foraging cap.
LJ011-0104|Hunton was put upon his trial at the Old Bailey, and in due course sentenced to death.|Hunton was put upon his trial at the Old Bailey, and in due course sentenced to death.
LJ011-0105|His defense was that the forged acceptances would have been met on coming to maturity, and that he had no real desire to defraud.|His defense was that the forged acceptances would have been met on coming to maturity, and that he had no real desire to defraud.
LJ011-0106|Hunton accepted his sentence with great resignation, although he protested against the inhumanity of the laws which condemned him to death.|Hunton accepted his sentence with great resignation, although he protested against the inhumanity of the laws which condemned him to death.
LJ011-0107|On entering Newgate he said,|On entering Newgate he said,
LJ011-0108|I wish after this day to have communication with nobody; let me take leave of my wife, and family, and friends. I have already suffered an execution;|I wish after this day to have communication with nobody; let me take leave of my wife, and family, and friends. I have already suffered an execution;
LJ011-0109|my heart has undergone that horrible penalty.|my heart has undergone that horrible penalty.
LJ011-0110|He was, however, visited by and received his wife, and several members of the Society of Friends.|He was, however, visited by and received his wife, and several members of the Society of Friends.
LJ011-0111|Two elders of the meeting sat up with him in the press yard the whole of the night previous to execution, and a third,|Two elders of the meeting sat up with him in the press yard the whole of the night previous to execution, and a third,
LJ011-0112|Mr. Sparks Moline, came to attend him to the scaffold.|Mr. Sparks Moline, came to attend him to the scaffold.
LJ011-0113|He met his death with unshaken firmness, only entreating that a certain blue handkerchief,|He met his death with unshaken firmness, only entreating that a certain blue handkerchief,
LJ011-0114|to which he seemed fondly attached, should be used to bandage his eyes, which request was readily granted.|to which he seemed fondly attached, should be used to bandage his eyes, which request was readily granted.
LJ011-0115|Hunton's execution no doubt aroused public attention to the cruelty and futility of the capital law against forgery.|Hunton's execution no doubt aroused public attention to the cruelty and futility of the capital law against forgery.
LJ011-0116|A society which had already been started against capital punishment|A society which had already been started against capital punishment
LJ011-0117|devoted its efforts first to a mitigation of the forgery statute, but could not immediately accomplish much.|devoted its efforts first to a mitigation of the forgery statute, but could not immediately accomplish much.
LJ011-0118|In 1829 the gallows claimed two more victims for this offense.|In eighteen twenty-nine the gallows claimed two more victims for this offense.
LJ011-0119|One was Richard Gifford, a well-educated youth who had been at Christ's Hospital, and afterwards in the National Debt Office.|One was Richard Gifford, a well-educated youth who had been at Christ's Hospital, and afterwards in the National Debt Office.
LJ011-0120|Unfortunately he took to drink, lost his appointment, and fell from bad to worse.|Unfortunately he took to drink, lost his appointment, and fell from bad to worse.
LJ011-0121|Suddenly, after being at the lowest depths, he emerged, and was found by his friends living in comfort in the Waterloo Road.|Suddenly, after being at the lowest depths, he emerged, and was found by his friends living in comfort in the Waterloo Road.
LJ011-0122|His funds, which he pretended came to him with a rich wife, were really the proceeds of frauds upon the Bank of England.|His funds, which he pretended came to him with a rich wife, were really the proceeds of frauds upon the Bank of England.
LJ011-0123|He forged the names of people who held stock on the Bank books, and got the value of the stock;|He forged the names of people who held stock on the Bank books, and got the value of the stock;
LJ011-0124|he also forged dividend receipts and got the dividends. He was only six-and-twenty when he was hanged.|he also forged dividend receipts and got the dividends. He was only six-and-twenty when he was hanged.
LJ011-0125|The other and the last criminal executed for forgery in this country was one Maynard, who was convicted of a fraud upon the Custom House.|The other and the last criminal executed for forgery in this country was one Maynard, who was convicted of a fraud upon the Custom House.
LJ011-0126|In conjunction with two others, one of whom was a clerk in the Custom House,|In conjunction with two others, one of whom was a clerk in the Custom House,
LJ011-0127|and had access to the official records, he forged a warrant for one thousand nine-hundred seventy-three pounds and was paid the money by the comptroller general.|and had access to the official records, he forged a warrant for one thousand nine-hundred seventy-three pounds and was paid the money by the comptroller general.
LJ011-0128|Maynard was convicted of uttering the forged document, Jones of being an accessory; the third prisoner was acquitted.|Maynard was convicted of uttering the forged document, Jones of being an accessory; the third prisoner was acquitted.
LJ011-0129|Maynard was the only one who suffered death.|Maynard was the only one who suffered death.
LJ011-0130|This was on the last day of 1829. In the following session Sir Robert Peel brought in a bill to consolidate the acts relating to forgery.|This was on the last day of eighteen twenty-nine. In the following session Sir Robert Peel brought in a bill to consolidate the acts relating to forgery.
LJ011-0131|Upon the third reading of this bill Sir James Macintosh moved as an amendment that capital punishment should be abolished for all crimes of forgery,|Upon the third reading of this bill Sir James Macintosh moved as an amendment that capital punishment should be abolished for all crimes of forgery,
LJ011-0132|except the forgery of wills and powers of attorney.|except the forgery of wills and powers of attorney.
LJ011-0133|This amendment was strongly supported outside the House, and a petition in favor of its passing was presented,|This amendment was strongly supported outside the House, and a petition in favor of its passing was presented,
LJ011-0134|signed by more than a thousand members of banking firms.|signed by more than a thousand members of banking firms.
LJ011-0135|Macintosh's amendment was carried in the Commons, but the new law did not pass the Lords, who re-enacted the capital penalty.|Macintosh's amendment was carried in the Commons, but the new law did not pass the Lords, who re-enacted the capital penalty.
LJ011-0136|Still no sentence of death was carried out for the offense, and in 1832|Still no sentence of death was carried out for the offense, and in eighteen thirty-two
LJ011-0137|the Attorney-General introduced a bill to abolish capital punishment entirely for forgery.|the Attorney-General introduced a bill to abolish capital punishment entirely for forgery.
LJ011-0138|It passed the Commons, but opposition was again encountered in the Lords.|It passed the Commons, but opposition was again encountered in the Lords.
LJ011-0139|This time they sent back the bill, re-enacting only the two penalties for will forging and the forging of powers of attorney;|This time they sent back the bill, re-enacting only the two penalties for will forging and the forging of powers of attorney;
LJ011-0140|in other words, they had advanced in 1832 to the point at which the Lower House had arrived in 1830.|in other words, they had advanced in eighteen thirty-two to the point at which the Lower House had arrived in eighteen thirty.
LJ011-0141|There were at the moment in Newgate six convicts sentenced to death for forging wills.|There were at the moment in Newgate six convicts sentenced to death for forging wills.
LJ011-0142|The question was whether the Government would dare to take their lives at the bidding of the House of Lords,|The question was whether the Government would dare to take their lives at the bidding of the House of Lords,
LJ011-0143|and in defiance of the vote of the assembly which more accurately represented public opinion. It was indeed announced that their fate was sealed;|and in defiance of the vote of the assembly which more accurately represented public opinion. It was indeed announced that their fate was sealed;
LJ011-0144|but Mr. Joseph Hume pressed the Government hard, and obtained an assurance that the men should not be executed.|but Mr. Joseph Hume pressed the Government hard, and obtained an assurance that the men should not be executed.
LJ011-0145|The new Forgery Act with the Lords' amendment passed into law, but the latter proved perfectly harmless,|The new Forgery Act with the Lords' amendment passed into law, but the latter proved perfectly harmless,
LJ011-0146|and no person ever after suffered death for any variety of this crime.|and no person ever after suffered death for any variety of this crime.
LJ011-0147|I will include in this part of the present chapter almost one of the last instances of a crime which in time past|I will include in this part of the present chapter almost one of the last instances of a crime which in time past
LJ011-0148|had invariably been visited with the death penalty, and which was of a distinctly fraudulent nature.|had invariably been visited with the death penalty, and which was of a distinctly fraudulent nature.
LJ011-0149|The abduction of Miss Turner by the brothers Wakefield bore a strong resemblance to the carrying off and forcible marrying of heiresses as already described.|The abduction of Miss Turner by the brothers Wakefield bore a strong resemblance to the carrying off and forcible marrying of heiresses as already described.
LJ011-0150|Miss Turner was a school-girl of barely fifteen,|Miss Turner was a school-girl of barely fifteen,
LJ011-0151|only child of a gentleman of large property in Cheshire, of which county he was actually high sheriff at the time of his daughter's abduction.|only child of a gentleman of large property in Cheshire, of which county he was actually high sheriff at the time of his daughter's abduction.
LJ011-0152|The elder brother,|The elder brother,
LJ011-0153|Edward Gibbon Wakefield, the prime mover in the abduction, was a barrister, not exactly briefless, but without a large practice.|Edward Gibbon Wakefield, the prime mover in the abduction, was a barrister, not exactly briefless, but without a large practice.
LJ011-0154|He had, it was said, a good private income, and was already a widower with two children at the time of his committing the offense for which he was subsequently tried.|He had, it was said, a good private income, and was already a widower with two children at the time of his committing the offense for which he was subsequently tried.
LJ011-0155|He had eloped with his first wife from school.|He had eloped with his first wife from school.
LJ011-0156|While on a visit to Macclesfield he heard by chance of Miss Turner, and that she would inherit all her father's possessions.|While on a visit to Macclesfield he heard by chance of Miss Turner, and that she would inherit all her father's possessions.
LJ011-0157|He thereupon conceived an idea of carrying her off and marrying her willy nilly at Gretna Green.|He thereupon conceived an idea of carrying her off and marrying her willy nilly at Gretna Green.
LJ011-0158|The two brothers started at once for Liverpool, where Miss Turner was at school with a Mrs. Daulby.|The two brothers started at once for Liverpool, where Miss Turner was at school with a Mrs. Daulby.
